combination,train_accuracy,val_accuracy,colsample_bytree,learning_rate,max_depth,alpha,n_estimators
80,0.7552005943536404,0.7459515673748328,0.1,0.01,5,10,50
81,0.7605126300148588,0.7521913534393107,0.1,0.01,5,10,100
82,0.7287147102526003,0.723666617144555,0.1,0.01,5,100,10
83,0.7264487369985141,0.7235180508096866,0.1,0.01,5,100,50
84,0.7378900445765231,0.7336205615807458,0.1,0.01,5,100,100
85,0.7970282317979198,0.7654137572426088,0.1,0.01,8,1,10
86,0.8028974739970283,0.7670479869261625,0.1,0.01,8,1,50
87,0.8086924219910847,0.7720992423116921,0.1,0.01,8,1,100
88,0.7804606240713224,0.7605110681919477,0.1,0.01,8,10,10
89,0.7849554234769688,0.7611053335314217,0.1,0.01,8,10,50
90,0.7887444279346211,0.7654137572426088,0.1,0.01,8,10,100
91,0.7407132243684993,0.7322834645669292,0.1,0.01,8,100,10
92,0.7461738484398217,0.739117515970881,0.1,0.01,8,100,50
93,0.7517830609212481,0.7426831080077254,0.1,0.01,8,100,100
94,0.82592867756315,0.7645223592333977,0.1,0.01,10,1,10
95,0.837295690936107,0.7671965532610311,0.1,0.01,10,1,50
96,0.8449479940564636,0.770910711632744,0.1,0.01,10,1,100
97,0.7893387815750371,0.7587282721735255,0.1,0.01,10,10,10
98,0.7921619613670133,0.7630366958847126,0.1,0.01,10,10,50
99,0.7976597325408619,0.76630515525182,0.1,0.01,10,10,100
100,0.7417161961367014,0.7331748625761403,0.1,0.01,10,100,10
101,0.749777117384844,0.7406031793195662,0.1,0.01,10,100,50
102,0.7529346210995542,0.7438716386866736,0.1,0.01,10,100,100
103,0.725668647845468,0.7251522804932402,0.1,0.1,3,1,10
104,0.763224368499257,0.7581340068340514,0.1,0.1,3,1,50
105,0.7813150074294205,0.7734363393255088,0.1,0.1,3,1,100
106,0.7227340267459138,0.7220323874610013,0.1,0.1,3,10,10
107,0.7613298662704309,0.7556083791412865,0.1,0.1,3,10,50
108,0.7786032689450223,0.7718021096419552,0.1,0.1,3,10,100
109,0.7154160475482912,0.7149012033873124,0.1,0.1,3,100,10
110,0.7511887072808321,0.7469915317189125,0.1,0.1,3,100,50
111,0.7645988112927191,0.758579705838657,0.1,0.1,3,100,100
112,0.7639301634472511,0.7535284504531273,0.1,0.1,5,1,10
113,0.7924591381872214,0.7774476303669589,0.1,0.1,5,1,50
114,0.8117384843982169,0.7764076660228793,0.1,0.1,5,1,100
115,0.7609583952451708,0.7529341851136533,0.1,0.1,5,10,10
116,0.7860698365527489,0.7731392066557718,0.1,0.1,5,10,50
117,0.799479940564636,0.7775961967018273,0.1,0.1,5,10,100
118,0.7358841010401189,0.7319863318971921,0.1,0.1,5,100,10
119,0.7658618127786033,0.7579854404991829,0.1,0.1,5,100,50
120,0.7778603268945022,0.7694250482840588,0.1,0.1,5,100,100
121,0.8075408618127786,0.770910711632744,0.1,0.1,8,1,10
122,0.8491827637444279,0.7767047986926162,0.1,0.1,8,1,50
123,0.8923848439821694,0.7756648343485366,0.1,0.1,8,1,100
124,0.7889673105497771,0.7679393849353736,0.1,0.1,8,10,10
125,0.8086924219910847,0.774030604664983,0.1,0.1,8,10,50
126,0.8306835066864785,0.7768533650274848,0.1,0.1,8,10,100
127,0.7464338781575037,0.739414648640618,0.1,0.1,8,100,10
128,0.7709881129271917,0.762888129549844,0.1,0.1,8,100,50
129,0.7823551263001486,0.7716535433070866,0.1,0.1,8,100,100
130,0.8446508172362556,0.7691279156143218,0.1,0.1,10,1,10
131,0.9047176820208024,0.775219135343931,0.1,0.1,10,1,50
132,0.950817236255572,0.7759619670182737,0.1,0.1,10,1,100
133,0.7968053491827637,0.7666022879215569,0.1,0.1,10,10,10
134,0.8225482912332838,0.7759619670182737,0.1,0.1,10,10,50
135,0.8511515601783061,0.7768533650274848,0.1,0.1,10,10,100
136,0.749665676077266,0.7417917099985143,0.1,0.1,10,100,10
137,0.77537147102526,0.7646709255682662,0.1,0.1,10,100,50
138,0.7846582466567608,0.770910711632744,0.1,0.1,10,100,100
139,0.7806092124814265,0.7683850839399792,0.1,1.0,3,1,10
140,0.8180163447251114,0.7683850839399792,0.1,1.0,3,1,50
141,0.8446879643387816,0.7679393849353736,0.1,1.0,3,1,100
142,0.7781946508172363,0.76630515525182,0.1,1.0,3,10,10
143,0.8049777117384844,0.7775961967018273,0.1,1.0,3,10,50
144,0.8179791976225854,0.7761105333531422,0.1,1.0,3,10,100
145,0.7638930163447251,0.7566483434853662,0.1,1.0,3,100,10
146,0.7729569093610699,0.7642252265636607,0.1,1.0,3,100,50
147,0.7729569093610699,0.7642252265636607,0.1,1.0,3,100,100
148,0.8077265973254086,0.7747734363393255,0.1,1.0,5,1,10
149,0.9013001485884101,0.7701678799584014,0.1,1.0,5,1,50
150,0.9588038632986627,0.76630515525182,0.1,1.0,5,1,100
151,0.799108469539376,0.774624870004457,0.1,1.0,5,10,10
152,0.850334323922734,0.7737334719952459,0.1,1.0,5,10,50
153,0.8812035661218425,0.7726935076511663,0.1,1.0,5,10,100
154,0.7762258543833581,0.7654137572426088,0.1,1.0,5,100,10
155,0.7788261515601783,0.7683850839399792,0.1,1.0,5,100,50
156,0.7788261515601783,0.7683850839399792,0.1,1.0,5,100,100
157,0.8851040118870728,0.7677908186005051,0.1,1.0,8,1,10
158,0.9988484398216939,0.7609567671965533,0.1,1.0,8,1,50
